Calculating fractal dimension every 10000 walks
Walks : 0 fractal dimension : -0.04545454545454548
Walks : 10000 fractal dimension : 1.1879107116260306
Walks : 20000 fractal dimension : 1.312609473102749
Walks : 30000 fractal dimension : 1.3672476542234124
Walks : 40000 fractal dimension : 1.4087249219486875
Walks : 50000 fractal dimension : 1.447183242719805
Walks : 60000 fractal dimension : 1.48002121139733
Walks : 70000 fractal dimension : 1.5056048711623526
Walks : 80000 fractal dimension : 1.5262439401689658
Walks : 90000 fractal dimension : 1.5467598347203295
Walks : 100000 fractal dimension : 1.5639536272972137
Walks : 110000 fractal dimension : 1.562575719897972
Walks : 120000 fractal dimension : 1.5422466161803072
Walks : 130000 fractal dimension : 1.5567772577416368
Walks : 140000 fractal dimension : 1.5700409126984773
Walks : 150000 fractal dimension : 1.578890781157033
Walks : 160000 fractal dimension : 1.5875215426457818
Walks : 170000 fractal dimension : 1.5961165939161035
Walks : 180000 fractal dimension : 1.6055701584973263
Walks : 190000 fractal dimension : 1.6147738119128303
Walks : 200000 fractal dimension : 1.6232494390205285
Walks : 210000 fractal dimension : 1.631626169722728
Walks : 220000 fractal dimension : 1.6395882452917503
Walks : 230000 fractal dimension : 1.646536206693497
Walks : 240000 fractal dimension : 1.64634425047331
Walks : 250000 fractal dimension : 1.645140470169441
Walks : 260000 fractal dimension : 1.6466849098245855
Walks : 270000 fractal dimension : 1.6514382276691824
Walks : 280000 fractal dimension : 1.656804971297239
Walks : 290000 fractal dimension : 1.6607889562941078
Walks : 300000 fractal dimension : 1.6654484392843942
Walks : 310000 fractal dimension : 1.6705141883859909
Walks : 320000 fractal dimension : 1.6755395101086754
Walks : 330000 fractal dimension : 1.6798962333915204
Walks : 340000 fractal dimension : 1.6845475258504026
Walks : 350000 fractal dimension : 1.6867048054754277
Walks : 360000 fractal dimension : 1.6911413506114858
Walks : 370000 fractal dimension : 1.6940663352797978
Walks : 380000 fractal dimension : 1.6978201320848414
Walks : 390000 fractal dimension : 1.7018417402690547
Walks : 400000 fractal dimension : 1.7057485046684306
Walks : 410000 fractal dimension : 1.708702736984231
Walks : 420000 fractal dimension : 1.7116962520355032
Walks : 430000 fractal dimension : 1.71485031519823
Walks : 440000 fractal dimension : 1.7175539543093739
Walks : 450000 fractal dimension : 1.7198767405220727
Walks : 460000 fractal dimension : 1.7220727550230595
Walks : 470000 fractal dimension : 1.7238672547178016
Walks : 480000 fractal dimension : 1.7252116162687456
Walks : 490000 fractal dimension : 1.7263046570353726
